Country,Population,Rate,Net,Density,World_Share,Region,Year,Income
Madagascar,27539106,2.68,721711,48,0.36,Sub-Saharan Africa,2020,Low income
Cameroon,26405174,2.59,669483,56,0.34,Sub-Saharan Africa,2020,Lower middle income
Côte d'Ivoire,26239250,2.57,661730,83,0.34,Sub-Saharan Africa,2020,Lower middle income
North Korea,25756088,0.44,112655,214,0.33,East Asia & Pacific,2020,Low income
Australia,25439164,1.18,296686,3,0.33,Australia,2020,High income
Niger,24014064,3.84,895929,19,0.31,Sub-Saharan Africa,2020,Low income
Taiwan,23808164,0.18,42899,673,0.31,East Asia & Pacific,2020,#N/A
Sri Lanka,21395196,0.42,89516,341,0.27,South Asia,2020,Lower middle income
Burkina Faso,20780371,2.86,581895,76,0.27,Sub-Saharan Africa,2020,Low income
Mali,20125282,3.02,592802,17,0.26,Sub-Saharan Africa,2020,Low income
Romania,19262731,-0.66,-126866,84,0.25,Europe & Central Asia,2020,High income
Chile,19082804,0.87,164163,26,0.25,Sub-Saharan Africa,2020,High income
Malawi,19024426,2.69,501205,203,0.25,Latin America & Caribbean,2020,Low income
Kazakhstan,18730568,1.21,225280,7,0.24,Europe & Central Asia,2020,Upper middle income
Zambia,18273379,2.93,522925,25,0.24,Sub-Saharan Africa,2020,Lower middle income
Guatemala,17846248,1.9,334096,167,0.23,Latin America & Caribbean,2020,Upper middle income
Ecuador,17587526,1.55,269392,71,0.23,Latin America & Caribbean,2020,Upper middle income
Syria,17410293,2.52,430523,95,0.22,Middle East & North Africa,2020,Low income
Netherlands,17127290,0.22,37742,508,0.22,Europe & Central Asia,2020,High income
Cambodia,16671185,1.41,232423,95,0.21,Sub-Saharan Africa,2020,Lower middle income
Senegal,16649599,2.75,447563,87,0.21,East Asia & Pacific,2020,Lower middle income
Chad,16324440,3,478988,13,0.21,Sub-Saharan Africa,2020,Low income
Somalia,15798020,2.92,450317,25,0.2,Sub-Saharan Africa,2020,Low income
Zimbabwe,14818157,1.48,217456,38,0.19,Sub-Saharan Africa,2020,Lower middle income
Guinea,13056478,2.83,361549,53,0.17,Sub-Saharan Africa,2020,Low income
Rwanda,12883878,2.58,325268,525,0.17,Sub-Saharan Africa,2020,Low income
Benin,12055347,2.73,322049,108,0.16,Sub-Saharan Africa,2020,Lower middle income
Burundi,11814346,3.12,360204,463,0.15,Sub-Saharan Africa,2020,Low income
Tunisia,11793319,1.06,123900,76,0.15,Middle East & North Africa,2020,Lower middle income
Bolivia,11640159,1.39,159921,11,0.15,Latin America & Caribbean,2020,Lower middle income
Belgium,11579477,0.44,50295,383,0.15,Europe & Central Asia,2020,High income
Haiti,11373955,1.24,139451,414,0.15,Latin America & Caribbean,2020,Low income
Cuba,11327988,-0.06,-6867,106,0.15,Latin America & Caribbean,2020,Upper middle income
South Sudan,11166783,1.19,131612,18,0.14,Sub-Saharan Africa,2020,Low income
Dominican Republic,10825682,1.01,108952,225,0.14,Latin America & Caribbean,2020,Upper middle income
Czech Republic (Czechia),10705012,0.18,19772,139,0.14,Europe & Central Asia,2020,Upper middle income
Greece,10433037,-0.48,-50401,81,0.13,Europe & Central Asia,2020,High income
Portugal,10202571,-0.29,-29478,111,0.13,Middle East & North Africa,2020,High income
Jordan,10182442,1,101440,115,0.13,Europe & Central Asia,2020,Upper middle income
Azerbaijan,10120555,0.91,91459,123,0.13,Europe & Central Asia,2020,Upper middle income
Sweden,10086531,0.63,62886,25,0.13,Europe & Central Asia,2020,High income
Honduras,9871892,1.63,158490,89,0.13,Latin America & Caribbean,2020,Lower middle income
United Arab Emirates,9865845,1.23,119873,118,0.13,Middle East & North Africa,2020,High income
Hungary,9665192,-0.25,-24328,107,0.12,Europe & Central Asia,2020,High income
Tajikistan,9492342,2.32,216627,68,0.12,Europe & Central Asia,2020,Low income
Belarus,9449940,-0.03,-3088,47,0.12,Europe & Central Asia,2020,Upper middle income
Austria,8996022,0.57,51296,109,0.12,Europe & Central Asia,2020,High income
Papua New Guinea,8911530,1.95,170915,20,0.11,East Asia & Pacific,2020,Lower middle income
Serbia,8744288,-0.4,-34864,100,0.11,Europe & Central Asia,2020,Upper middle income
Switzerland,8641786,0.74,63257,219,0.11,Middle East & North Africa,2020,High income
Israel,8627444,1.6,136158,400,0.11,Europe & Central Asia,2020,High income
Togo,8237580,2.43,196358,152,0.11,Sub-Saharan Africa,2020,Low income
Sierra Leone,7942879,2.1,163768,111,0.1,Sub-Saharan Africa,2020,Low income
Hong Kong,7484618,0.82,60827,7140,0.1,East Asia & Pacific,2020,High income
Laos,7253719,1.48,106105,32,0.09,East Asia & Pacific,2020,Upper middle income
Paraguay,7114524,1.25,87902,18,0.09,Latin America & Caribbean,2020,Upper middle income
Bulgaria,6958627,-0.74,-51674,64,0.09,Europe & Central Asia,2020,Upper middle income
Libya,6852010,1.38,93840,4,0.09,Middle East & North Africa,2020,Upper middle income
Lebanon,6831445,-0.44,-30268,667,0.09,Middle East & North Africa,2020,Upper middle income
Nicaragua,6608366,1.21,79052,55,0.08,Latin America & Caribbean,2020,Lower middle income
Kyrgyzstan,6501804,1.69,108345,34,0.08,Europe & Central Asia,2020,Lower middle income
El Salvador,6479609,0.51,32652,313,0.08,Latin America & Caribbean,2020,Lower middle income
Turkmenistan,6012850,1.5,89111,13,0.08,Europe & Central Asia,2020,Upper middle income
Singapore,5840996,0.79,46005,8358,0.08,East Asia & Pacific,2020,High income
Denmark,5788108,0.35,20326,137,0.07,Europe & Central Asia,2020,High income
Finland,5539002,0.15,8564,18,0.07,Europe & Central Asia,2020,High income
Congo,5489191,2.56,137579,16,0.07,Sub-Saharan Africa,2020,Lower middle income
Slovakia,5459116,0.05,2629,114,0.07,Europe & Central Asia,2020,Lower middle income
Norway,5412632,0.79,42384,15,0.07,Europe & Central Asia,2020,High income
Costa Rica,5084636,0.92,46557,100,0.07,Middle East & North Africa,2020,Upper middle income
Oman,5078933,2.65,131640,16,0.07,Latin America & Caribbean,2020,High income
State of Palestine,5076280,2.41,119994,847,0.07,Middle East & North Africa,2020,Low income
Liberia,5032469,2.44,120307,53,0.06,Sub-Saharan Africa,2020,Low income
Ireland,4926480,1.13,55291,72,0.06,Europe & Central Asia,2020,High income
New Zealand,4814272,0.82,39170,18,0.06,Sub-Saharan Africa,2020,High income
Central African Republic,4812256,1.78,84582,8,0.06,Sub-Saharan Africa,2020,Low income
Mauritania,4623535,2.74,123962,5,0.06,Sub-Saharan Africa,2020,Lower middle income
Panama,4300667,1.61,68328,58,0.06,Latin America & Caribbean,2020,High income
Kuwait,4257495,1.51,63488,240,0.05,Middle East & North Africa,2020,High income
Croatia,4110214,-0.61,-25037,73,0.05,Europe & Central Asia,2020,High income
Moldova,4035814,-0.23,-9300,123,0.05,Europe & Central Asia,2020,Lower middle income
Georgia,3990681,-0.19,-7598,57,0.05,Europe & Central Asia,2020,Upper middle income
Eritrea,3536285,1.41,49304,35,0.05,Sub-Saharan Africa,2020,Low income
Uruguay,3471314,0.35,11996,20,0.04,Latin America & Caribbean,2020,High income
Bosnia and Herzegovina,3284806,-0.61,-20181,64,0.04,Europe & Central Asia,2020,Upper middle income
Mongolia,3267320,1.65,53123,2,0.04,East Asia & Pacific,2020,Lower middle income
Armenia,2962137,0.19,5512,104,0.04,Europe & Central Asia,2020,Upper middle income
Jamaica,2958567,0.44,12888,273,0.04,Latin America & Caribbean,2020,Upper middle income
Albania,2878420,-0.11,-3120,105,0.04,Latin America & Caribbean,2020,Upper middle income
Puerto Rico,2874636,-2.47,-72555,323,0.04,Middle East & North Africa,2020,High income
Qatar,2870922,1.73,48986,248,0.04,Europe & Central Asia,2020,High income
Lithuania,2729553,-1.35,-37338,43,0.03,Europe & Central Asia,2020,High income
Namibia,2531290,1.86,46375,3,0.03,Sub-Saharan Africa,2020,Upper middle income
Gambia,2402083,2.94,68962,239,0.03,Sub-Saharan Africa,2020,Low income
Botswana,2341649,2.08,47930,4,0.03,Sub-Saharan Africa,2020,Upper middle income
Gabon,2214593,2.45,53155,9,0.03,Sub-Saharan Africa,2020,Upper middle income
Lesotho,2138799,0.8,16981,71,0.03,Sub-Saharan Africa,2020,Lower middle income
North Macedonia,2083391,0,-85,83,0.03,Europe & Central Asia,2020,Upper middle income
Slovenia,2078881,0.01,284,103,0.03,Europe & Central Asia,2020,High income
Guinea-Bissau,1958132,2.45,47079,70,0.03,Sub-Saharan Africa,2020,Low income
Latvia,1890218,-1.08,-20545,30,0.02,Europe & Central Asia,2020,High income
Bahrain,1688629,3.68,60403,2239,0.02,Middle East & North Africa,2020,High income
Trinidad and Tobago,1398579,0.32,4515,273,0.02,Sub-Saharan Africa,2020,High income
Equatorial Guinea,1392950,3.47,46999,50,0.02,Latin America & Caribbean,2020,Upper middle income
Estonia,1326357,0.07,887,31,0.02,Europe & Central Asia,2020,High income
Timor-Leste,1313184,1.96,25326,89,0.02,East Asia & Pacific,2020,Lower middle income
Mauritius,1271347,0.17,2100,626,0.02,Sub-Saharan Africa,2020,High income
Cyprus,1205577,0.73,8784,131,0.02,Europe & Central Asia,2020,High income
Eswatini,1157707,1.05,12034,67,0.01,Sub-Saharan Africa,2020,Lower middle income
Djibouti,985027,1.48,14440,43,0.01,Middle East & North Africa,2020,Lower middle income
Fiji,895128,0.73,6492,49,0.01,East Asia & Pacific,2020,Upper middle income
Réunion,894017,0.72,6385,358,0.01,Latin America & Caribbean,2020,Lower middle income
Comoros,865696,2.2,18715,467,0.01,Sub-Saharan Africa,2020,Lower middle income
Guyana,785788,0.48,3786,4,0.01,Latin America & Caribbean,2020,Upper middle income
Bhutan,769867,1.12,8516,20,0.01,South Asia,2020,Lower middle income
Solomon Islands,683301,2.55,17061,25,0.01,East Asia & Pacific,2020,Lower middle income
Macao,647508,1.39,8890,21645,0.01,East Asia & Pacific,2020,High income
Montenegro,628050,0.01,79,47,0.01,Europe & Central Asia,2020,Upper middle income
Luxembourg,623861,1.66,10249,242,0.01,Europe & Central Asia,2020,High income
Western Sahara,594215,2.55,14876,2,0.01,Sub-Saharan Africa,2020,Lower middle income
Suriname,585561,0.9,5260,4,0.01,Latin America & Caribbean,2020,Upper middle income
Cabo Verde,554750,1.1,6052,138,0.01,Sub-Saharan Africa,2020,Lower middle income
Maldives,538558,1.81,9591,1802,0.01,South Asia,2020,Upper middle income
Malta,441308,0.27,1171,1380,0.01,Middle East & North Africa,2020,High income
Brunei,436624,0.97,4194,83,0.01,East Asia & Pacific,2020,High income
Guadeloupe,400110,0.02,68,237,0.01,Latin America & Caribbean,2020,Lower middle income
Belize,396120,1.86,7275,17,0.01,Latin America & Caribbean,2020,Upper middle income
Bahamas,392477,0.97,3762,39,0.01,Latin America & Caribbean,2020,High income
Martinique,375323,-0.08,-289,354,0,Sub-Saharan Africa,2020,High income
Iceland,340795,0.65,2212,3,0,Europe & Central Asia,2020,High income
Vanuatu,305623,2.42,7263,25,0,East Asia & Pacific,2020,Lower middle income
French Guiana,297029,2.7,7850,4,0,East Asia & Pacific,2020,High income
Barbados,287305,0.12,350,668,0,Latin America & Caribbean,2020,High income
New Caledonia,284938,0.97,2748,16,0,East Asia & Pacific,2020,High income
French Polynesia,280580,0.58,1621,77,0,East Asia & Pacific,2020,High income
Mayotte,271417,2.5,6665,728,0,Sub-Saharan Africa,2020,High income
Sao Tome & Principe,218308,1.91,4103,228,0,Sub-Saharan Africa,2020,High income
Samoa,198147,0.67,1317,70,0,East Asia & Pacific,2020,Upper middle income
Saint Lucia,183458,0.46,837,301,0,Sub-Saharan Africa,2020,Upper middle income
Channel Islands,173536,0.93,1604,915,0,Europe & Central Asia,2020,High income
Guam,168474,0.89,1481,313,0,East Asia & Pacific,2020,High income
Curaçao,163958,0.41,669,370,0,Sub-Saharan Africa,2020,Upper middle income
Kiribati,119069,1.57,1843,147,0,East Asia & Pacific,2020,Lower middle income
Micronesia,114776,1.06,1208,164,0,East Asia & Pacific,2020,Lower middle income
Grenada,112418,0.46,520,331,0,Latin America & Caribbean,2020,Upper middle income
St. Vincent & Grenadines,110869,0.32,351,284,0,Latin America & Caribbean,2020,Upper middle income
Aruba,106675,0.43,452,593,0,Latin America & Caribbean,2020,High income
Tonga,105449,1.15,1201,147,0,East Asia & Pacific,2020,Upper middle income
U.S. Virgin Islands,104456,-0.15,-153,298,0,Latin America & Caribbean,2020,High income
Seychelles,98224,0.62,608,214,0,Sub-Saharan Africa,2020,High income
Antigua and Barbuda,97764,0.84,811,223,0,Latin America & Caribbean,2020,High income
Isle of Man,84942,0.53,449,149,0,Europe & Central Asia,2020,High income
Andorra,77240,0.16,123,164,0,Europe & Central Asia,2020,High income
Dominica,71950,0.25,178,96,0,Latin America & Caribbean,2020,Upper middle income
Cayman Islands,65564,1.19,774,274,0,Latin America & Caribbean,2020,High income
Bermuda,62323,-0.36,-228,1246,0,North America,2020,High income
Marshall Islands,59109,0.68,399,329,0,East Asia & Pacific,2020,Upper middle income
Northern Mariana Islands,57490,0.6,343,125,0,East Asia & Pacific,2020,High income
Greenland,56750,0.17,98,0,0,Europe & Central Asia,2020,High income
American Samoa,55215,-0.22,-121,276,0,East Asia & Pacific,2020,Upper middle income
Saint Kitts & Nevis,53123,0.71,376,205,0,Latin America & Caribbean,2020,Lower middle income
Faeroe Islands,48826,0.38,185,35,0,Latin America & Caribbean,2020,Lower middle income
Sint Maarten,42776,1.15,488,1261,0,Latin America & Caribbean,2020,Lower middle income
Monaco,39186,0.71,278,26337,0,Europe & Central Asia,2020,High income
Turks and Caicos,38609,1.38,526,41,0,Latin America & Caribbean,2020,High income
Saint Martin,38529,1.75,664,730,0,Latin America & Caribbean,2020,High income
Liechtenstein,38106,0.29,109,238,0,Europe & Central Asia,2020,High income
San Marino,33917,0.21,71,566,0,Europe & Central Asia,2020,High income
Gibraltar,33693,-0.03,-10,3369,0,Europe & Central Asia,2020,High income
British Virgin Islands,30190,0.67,201,202,0,Latin America & Caribbean,2020,High income
Caribbean Netherlands,26173,0.94,244,80,0,Latin America & Caribbean,2020,High income
Palau,18077,0.48,86,39,0,East Asia & Pacific,2020,High income
Cook Islands,17561,0.09,16,73,0,Latin America & Caribbean,2020,Lower middle income
Anguilla,14976,0.9,134,167,0,Latin America & Caribbean,2020,Lower middle income
Tuvalu,11762,1.25,146,393,0,East Asia & Pacific,2020,Upper middle income
Wallis & Futuna,11276,-1.69,-193,80,0,Latin America & Caribbean,2020,Upper middle income
Nauru,10810,0.63,68,541,0,East Asia & Pacific,2020,High income
Saint Barthelemy,9871,0.3,30,470,0,Latin America & Caribbean,2020,Upper middle income
Saint Helena,6073,0.3,18,16,0,Latin America & Caribbean,2020,Upper middle income
Saint Pierre & Miquelon,5800,-0.48,-28,25,0,Latin America & Caribbean,2020,Upper middle income
Montserrat,4991,0.06,3,50,0,Latin America & Caribbean,2020,Upper middle income
Falkland Islands,3458,3.05,103,0,0,Latin America & Caribbean,2020,Upper middle income
Niue,1624,0.68,11,6,0,Latin America & Caribbean,2020,Low income
Tokelau,1354,1.27,17,136,0,Latin America & Caribbean,2020,Low income
Holy See,801,0.25,2,2003,0,Latin America & Caribbean,2020,Upper middle income
