Country,Population,Rate,Net,Density,World_Share,Region,Year,Income,Popden
Cambodia,16671185,1.41,232423,95,0.21,Sub-Saharan Africa,2020,Lower middle income,0.511963148
Senegal,16649599,2.75,447563,87,0.21,East Asia & Pacific,2020,Lower middle income,0.511963148
Chad,16324440,3,478988,13,0.21,Sub-Saharan Africa,2020,Low income,0.184338082
Somalia,15798020,2.92,450317,25,0.2,Sub-Saharan Africa,2020,Low income,0.184338082
Zimbabwe,14818157,1.48,217456,38,0.19,Sub-Saharan Africa,2020,Lower middle income,0.511963148
Guinea,13056478,2.83,361549,53,0.17,Sub-Saharan Africa,2020,Low income,0.184338082
Rwanda,12883878,2.58,325268,525,0.17,Sub-Saharan Africa,2020,Low income,0.184338082
Benin,12055347,2.73,322049,108,0.16,Sub-Saharan Africa,2020,Lower middle income,0.511963148
Burundi,11814346,3.12,360204,463,0.15,Sub-Saharan Africa,2020,Low income,0.184338082
Tunisia,11793319,1.06,123900,76,0.15,Middle East & North Africa,2020,Lower middle income,0.511963148
Bolivia,11640159,1.39,159921,11,0.15,Latin America & Caribbean,2020,Lower middle income,0.511963148
Belgium,11579477,0.44,50295,383,0.15,Europe & Central Asia,2020,High income,0.05399601
Haiti,11373955,1.24,139451,414,0.15,Latin America & Caribbean,2020,Low income,0.184338082
Cuba,11327988,-0.06,-6867,106,0.15,Latin America & Caribbean,2020,Upper middle income,0.24970276
South Sudan,11166783,1.19,131612,18,0.14,Sub-Saharan Africa,2020,Low income,0.184338082
Dominican Republic,10825682,1.01,108952,225,0.14,Latin America & Caribbean,2020,Upper middle income,0.24970276
Czech Republic (Czechia),10705012,0.18,19772,139,0.14,Europe & Central Asia,2020,Upper middle income,0.24970276
Greece,10433037,-0.48,-50401,81,0.13,Europe & Central Asia,2020,High income,0.05399601
Portugal,10202571,-0.29,-29478,111,0.13,Middle East & North Africa,2020,High income,0.05399601
Jordan,10182442,1,101440,115,0.13,Europe & Central Asia,2020,Upper middle income,0.24970276
Azerbaijan,10120555,0.91,91459,123,0.13,Europe & Central Asia,2020,Upper middle income,0.24970276
Sweden,10086531,0.63,62886,25,0.13,Europe & Central Asia,2020,High income,0.05399601
Honduras,9871892,1.63,158490,89,0.13,Latin America & Caribbean,2020,Lower middle income,0.511963148
United Arab Emirates,9865845,1.23,119873,118,0.13,Middle East & North Africa,2020,High income,0.05399601
Hungary,9665192,-0.25,-24328,107,0.12,Europe & Central Asia,2020,High income,0.05399601
Tajikistan,9492342,2.32,216627,68,0.12,Europe & Central Asia,2020,Low income,0.184338082
Belarus,9449940,-0.03,-3088,47,0.12,Europe & Central Asia,2020,Upper middle income,0.24970276
Austria,8996022,0.57,51296,109,0.12,Europe & Central Asia,2020,High income,0.05399601
Papua New Guinea,8911530,1.95,170915,20,0.11,East Asia & Pacific,2020,Lower middle income,0.511963148
Serbia,8744288,-0.4,-34864,100,0.11,Europe & Central Asia,2020,Upper middle income,0.24970276
Switzerland,8641786,0.74,63257,219,0.11,Middle East & North Africa,2020,High income,0.05399601
Israel,8627444,1.6,136158,400,0.11,Europe & Central Asia,2020,High income,0.05399601
Togo,8237580,2.43,196358,152,0.11,Sub-Saharan Africa,2020,Low income,0.184338082
Sierra Leone,7942879,2.1,163768,111,0.1,Sub-Saharan Africa,2020,Low income,0.184338082
Hong Kong,7484618,0.82,60827,7140,0.1,East Asia & Pacific,2020,High income,0.05399601
Laos,7253719,1.48,106105,32,0.09,East Asia & Pacific,2020,Upper middle income,0.24970276
Paraguay,7114524,1.25,87902,18,0.09,Latin America & Caribbean,2020,Upper middle income,0.24970276
Bulgaria,6958627,-0.74,-51674,64,0.09,Europe & Central Asia,2020,Upper middle income,0.24970276
Libya,6852010,1.38,93840,4,0.09,Middle East & North Africa,2020,Upper middle income,0.24970276
Lebanon,6831445,-0.44,-30268,667,0.09,Middle East & North Africa,2020,Upper middle income,0.24970276
Nicaragua,6608366,1.21,79052,55,0.08,Latin America & Caribbean,2020,Lower middle income,0.511963148
Kyrgyzstan,6501804,1.69,108345,34,0.08,Europe & Central Asia,2020,Lower middle income,0.511963148
El Salvador,6479609,0.51,32652,313,0.08,Latin America & Caribbean,2020,Lower middle income,0.511963148
Turkmenistan,6012850,1.5,89111,13,0.08,Europe & Central Asia,2020,Upper middle income,0.24970276
Singapore,5840996,0.79,46005,8358,0.08,East Asia & Pacific,2020,High income,0.05399601
Denmark,5788108,0.35,20326,137,0.07,Europe & Central Asia,2020,High income,0.05399601
Finland,5539002,0.15,8564,18,0.07,Europe & Central Asia,2020,High income,0.05399601
Congo,5489191,2.56,137579,16,0.07,Sub-Saharan Africa,2020,Lower middle income,0.511963148
Slovakia,5459116,0.05,2629,114,0.07,Europe & Central Asia,2020,Lower middle income,0.511963148
Norway,5412632,0.79,42384,15,0.07,Europe & Central Asia,2020,High income,0.05399601
Costa Rica,5084636,0.92,46557,100,0.07,Middle East & North Africa,2020,Upper middle income,0.24970276
Oman,5078933,2.65,131640,16,0.07,Latin America & Caribbean,2020,High income,0.05399601
State of Palestine,5076280,2.41,119994,847,0.07,Middle East & North Africa,2020,Low income,0.184338082
Liberia,5032469,2.44,120307,53,0.06,Sub-Saharan Africa,2020,Low income,0.184338082
Ireland,4926480,1.13,55291,72,0.06,Europe & Central Asia,2020,High income,0.05399601
New Zealand,4814272,0.82,39170,18,0.06,Sub-Saharan Africa,2020,High income,0.05399601
Central African Republic,4812256,1.78,84582,8,0.06,Sub-Saharan Africa,2020,Low income,0.184338082
Mauritania,4623535,2.74,123962,5,0.06,Sub-Saharan Africa,2020,Lower middle income,0.511963148
Panama,4300667,1.61,68328,58,0.06,Latin America & Caribbean,2020,High income,0.05399601
Kuwait,4257495,1.51,63488,240,0.05,Middle East & North Africa,2020,High income,0.05399601
Croatia,4110214,-0.61,-25037,73,0.05,Europe & Central Asia,2020,High income,0.05399601
Moldova,4035814,-0.23,-9300,123,0.05,Europe & Central Asia,2020,Lower middle income,0.511963148
Georgia,3990681,-0.19,-7598,57,0.05,Europe & Central Asia,2020,Upper middle income,0.24970276
Eritrea,3536285,1.41,49304,35,0.05,Sub-Saharan Africa,2020,Low income,0.184338082
Uruguay,3471314,0.35,11996,20,0.04,Latin America & Caribbean,2020,High income,0.05399601
Bosnia and Herzegovina,3284806,-0.61,-20181,64,0.04,Europe & Central Asia,2020,Upper middle income,0.24970276
Mongolia,3267320,1.65,53123,2,0.04,East Asia & Pacific,2020,Lower middle income,0.511963148
Armenia,2962137,0.19,5512,104,0.04,Europe & Central Asia,2020,Upper middle income,0.24970276
Jamaica,2958567,0.44,12888,273,0.04,Latin America & Caribbean,2020,Upper middle income,0.24970276
Albania,2878420,-0.11,-3120,105,0.04,Latin America & Caribbean,2020,Upper middle income,0.24970276
Puerto Rico,2874636,-2.47,-72555,323,0.04,Middle East & North Africa,2020,High income,0.05399601
Qatar,2870922,1.73,48986,248,0.04,Europe & Central Asia,2020,High income,0.05399601
Lithuania,2729553,-1.35,-37338,43,0.03,Europe & Central Asia,2020,High income,0.05399601
Namibia,2531290,1.86,46375,3,0.03,Sub-Saharan Africa,2020,Upper middle income,0.24970276
Gambia,2402083,2.94,68962,239,0.03,Sub-Saharan Africa,2020,Low income,0.184338082
Botswana,2341649,2.08,47930,4,0.03,Sub-Saharan Africa,2020,Upper middle income,0.24970276
Gabon,2214593,2.45,53155,9,0.03,Sub-Saharan Africa,2020,Upper middle income,0.24970276
Lesotho,2138799,0.8,16981,71,0.03,Sub-Saharan Africa,2020,Lower middle income,0.511963148
North Macedonia,2083391,0,-85,83,0.03,Europe & Central Asia,2020,Upper middle income,0.24970276
Slovenia,2078881,0.01,284,103,0.03,Europe & Central Asia,2020,High income,0.05399601
Guinea-Bissau,1958132,2.45,47079,70,0.03,Sub-Saharan Africa,2020,Low income,0.184338082
Latvia,1890218,-1.08,-20545,30,0.02,Europe & Central Asia,2020,High income,0.05399601
Bahrain,1688629,3.68,60403,2239,0.02,Middle East & North Africa,2020,High income,0.05399601
Trinidad and Tobago,1398579,0.32,4515,273,0.02,Sub-Saharan Africa,2020,High income,0.05399601
Equatorial Guinea,1392950,3.47,46999,50,0.02,Latin America & Caribbean,2020,Upper middle income,0.24970276
Estonia,1326357,0.07,887,31,0.02,Europe & Central Asia,2020,High income,0.05399601
Timor-Leste,1313184,1.96,25326,89,0.02,East Asia & Pacific,2020,Lower middle income,0.511963148
Mauritius,1271347,0.17,2100,626,0.02,Sub-Saharan Africa,2020,High income,0.05399601
Cyprus,1205577,0.73,8784,131,0.02,Europe & Central Asia,2020,High income,0.05399601
Eswatini,1157707,1.05,12034,67,0.01,Sub-Saharan Africa,2020,Lower middle income,0.511963148
Djibouti,985027,1.48,14440,43,0.01,Middle East & North Africa,2020,Lower middle income,0.511963148
Fiji,895128,0.73,6492,49,0.01,East Asia & Pacific,2020,Upper middle income,0.24970276
Réunion,894017,0.72,6385,358,0.01,Latin America & Caribbean,2020,Lower middle income,0.511963148
Comoros,865696,2.2,18715,467,0.01,Sub-Saharan Africa,2020,Lower middle income,0.511963148
Guyana,785788,0.48,3786,4,0.01,Latin America & Caribbean,2020,Upper middle income,0.24970276
Bhutan,769867,1.12,8516,20,0.01,South Asia,2020,Lower middle income,0.511963148
Solomon Islands,683301,2.55,17061,25,0.01,East Asia & Pacific,2020,Lower middle income,0.511963148
Macao,647508,1.39,8890,21645,0.01,East Asia & Pacific,2020,Low income,0.184338082
Montenegro,628050,0.01,79,47,0.01,Europe & Central Asia,2020,Upper middle income,0.24970276
Luxembourg,623861,1.66,10249,242,0.01,Europe & Central Asia,2020,High income,0.05399601
Western Sahara,594215,2.55,14876,2,0.01,Sub-Saharan Africa,2020,Lower middle income,0.511963148
Suriname,585561,0.9,5260,4,0.01,Latin America & Caribbean,2020,Upper middle income,0.24970276
Cabo Verde,554750,1.1,6052,138,0.01,Sub-Saharan Africa,2020,Lower middle income,0.511963148
Maldives,538558,1.81,9591,1802,0.01,South Asia,2020,Upper middle income,0.24970276
Malta,441308,0.27,1171,1380,0.01,Middle East & North Africa,2020,High income,0.05399601
Brunei,436624,0.97,4194,83,0.01,East Asia & Pacific,2020,High income,0.05399601
Guadeloupe,400110,0.02,68,237,0.01,Latin America & Caribbean,2020,Lower middle income,0.511963148
Belize,396120,1.86,7275,17,0.01,Latin America & Caribbean,2020,Upper middle income,0.24970276
Bahamas,392477,0.97,3762,39,0.01,Latin America & Caribbean,2020,High income,0.05399601
Martinique,375323,-0.08,-289,354,0,Sub-Saharan Africa,2020,High income,0.05399601
Iceland,340795,0.65,2212,3,0,Europe & Central Asia,2020,High income,0.05399601
Vanuatu,305623,2.42,7263,25,0,East Asia & Pacific,2020,Lower middle income,0.511963148
French Guiana,297029,2.7,7850,4,0,East Asia & Pacific,2020,High income,0.05399601
Barbados,287305,0.12,350,668,0,Latin America & Caribbean,2020,High income,0.05399601
New Caledonia,284938,0.97,2748,16,0,East Asia & Pacific,2020,High income,0.05399601
French Polynesia,280580,0.58,1621,77,0,East Asia & Pacific,2020,High income,0.05399601
Mayotte,271417,2.5,6665,728,0,Sub-Saharan Africa,2020,High income,0.05399601
Sao Tome & Principe,218308,1.91,4103,228,0,Sub-Saharan Africa,2020,High income,0.05399601
Samoa,198147,0.67,1317,70,0,East Asia & Pacific,2020,Upper middle income,0.24970276
Saint Lucia,183458,0.46,837,301,0,Sub-Saharan Africa,2020,Upper middle income,0.24970276
Channel Islands,173536,0.93,1604,915,0,Europe & Central Asia,2020,High income,0.05399601
Guam,168474,0.89,1481,313,0,East Asia & Pacific,2020,High income,0.05399601
Curaçao,163958,0.41,669,370,0,Sub-Saharan Africa,2020,Upper middle income,0.24970276
Kiribati,119069,1.57,1843,147,0,East Asia & Pacific,2020,Lower middle income,0.511963148
Micronesia,114776,1.06,1208,164,0,East Asia & Pacific,2020,Lower middle income,0.511963148
Grenada,112418,0.46,520,331,0,Latin America & Caribbean,2020,Upper middle income,0.24970276
St. Vincent & Grenadines,110869,0.32,351,284,0,Latin America & Caribbean,2020,Upper middle income,0.24970276
Aruba,106675,0.43,452,593,0,Latin America & Caribbean,2020,High income,0.05399601
Tonga,105449,1.15,1201,147,0,East Asia & Pacific,2020,Upper middle income,0.24970276
U.S. Virgin Islands,104456,-0.15,-153,298,0,Latin America & Caribbean,2020,High income,0.05399601
Seychelles,98224,0.62,608,214,0,Sub-Saharan Africa,2020,High income,0.05399601
Antigua and Barbuda,97764,0.84,811,223,0,Latin America & Caribbean,2020,High income,0.05399601
Isle of Man,84942,0.53,449,149,0,Europe & Central Asia,2020,High income,0.05399601
Andorra,77240,0.16,123,164,0,Europe & Central Asia,2020,High income,0.05399601
Dominica,71950,0.25,178,96,0,Latin America & Caribbean,2020,Upper middle income,0.24970276
Cayman Islands,65564,1.19,774,274,0,Latin America & Caribbean,2020,High income,0.05399601
Bermuda,62323,-0.36,-228,1246,0,North America,2020,High income,0.05399601
Marshall Islands,59109,0.68,399,329,0,East Asia & Pacific,2020,Upper middle income,0.24970276
Northern Mariana Islands,57490,0.6,343,125,0,East Asia & Pacific,2020,High income,0.05399601
Greenland,56750,0.17,98,0,0,Europe & Central Asia,2020,High income,0.05399601
American Samoa,55215,-0.22,-121,276,0,East Asia & Pacific,2020,Upper middle income,0.24970276
Saint Kitts & Nevis,53123,0.71,376,205,0,Latin America & Caribbean,2020,Lower middle income,0.511963148
Faeroe Islands,48826,0.38,185,35,0,Latin America & Caribbean,2020,Lower middle income,0.511963148
Sint Maarten,42776,1.15,488,1261,0,Latin America & Caribbean,2020,Lower middle income,0.511963148
Monaco,39186,0.71,278,26337,0,Europe & Central Asia,2020,High income,0.05399601
Turks and Caicos,38609,1.38,526,41,0,Latin America & Caribbean,2020,High income,0.05399601
Saint Martin,38529,1.75,664,730,0,Latin America & Caribbean,2020,High income,0.05399601
Liechtenstein,38106,0.29,109,238,0,Europe & Central Asia,2020,High income,0.05399601
San Marino,33917,0.21,71,566,0,Europe & Central Asia,2020,High income,0.05399601
Gibraltar,33693,-0.03,-10,3369,0,Europe & Central Asia,2020,High income,0.05399601
British Virgin Islands,30190,0.67,201,202,0,Latin America & Caribbean,2020,High income,0.05399601
Caribbean Netherlands,26173,0.94,244,80,0,Latin America & Caribbean,2020,High income,0.05399601
Palau,18077,0.48,86,39,0,East Asia & Pacific,2020,High income,0.05399601
Cook Islands,17561,0.09,16,73,0,Latin America & Caribbean,2020,Lower middle income,0.511963148
Anguilla,14976,0.9,134,167,0,Latin America & Caribbean,2020,Lower middle income,0.511963148
Tuvalu,11762,1.25,146,393,0,East Asia & Pacific,2020,Upper middle income,0.24970276
Wallis & Futuna,11276,-1.69,-193,80,0,Latin America & Caribbean,2020,Upper middle income,0.24970276
Nauru,10810,0.63,68,541,0,East Asia & Pacific,2020,High income,0.05399601
Saint Barthelemy,9871,0.3,30,470,0,Latin America & Caribbean,2020,Upper middle income,0.24970276
Saint Helena,6073,0.3,18,16,0,Latin America & Caribbean,2020,Upper middle income,0.24970276
Saint Pierre & Miquelon,5800,-0.48,-28,25,0,Latin America & Caribbean,2020,Upper middle income,0.24970276
Montserrat,4991,0.06,3,50,0,Latin America & Caribbean,2020,Upper middle income,0.24970276
Falkland Islands,3458,3.05,103,0,0,Latin America & Caribbean,2020,Upper middle income,0.24970276
Niue,1624,0.68,11,6,0,Latin America & Caribbean,2020,Low income,0.184338082
Tokelau,1354,1.27,17,136,0,Latin America & Caribbean,2020,Low income,0.184338082
Holy See,801,0.25,2,2003,0,Latin America & Caribbean,2020,Upper middle income,0.24970276
